        s / mm                Y (7)/real
               186.01885                   0.00027394702
                 186.571                   0.00039250863
               187.12315                   0.00050938935
                187.6753                   0.00062362959
               188.22746                   0.00073445844
               188.77961                   0.00084111323
               189.33176                   0.00094273879
               189.88392                    0.0010386199
               190.43607                    0.0011281008
               190.98822                    0.0012104269
               191.54038                    0.0012849308
               192.09253                    0.0013511371
               192.64468                    0.0014085234
               193.19684                    0.0014565064
               193.74899                     0.001494724
               194.30114                    0.0015229427
               194.85329                    0.0015408405
               195.40545                    0.0015481626
                195.9576                    0.0015448086
               196.50975                    0.0015307653
               197.06191                    0.0015061055
               197.61406                    0.0014708907
               198.16621                    0.0014252235
               198.71837                    0.0013694303
               199.27052                    0.0013038974
               199.82267                    0.0012289473
               200.37483                    0.0011450377
               200.92698                     0.001052764
               201.47913                   0.00095271558
               202.03128                   0.00084550245
               202.58344                   0.00073183597
               203.13559                   0.00061252084
               203.68774                   0.00048834058
                204.2399                   0.00036009248
               204.79205                   0.00022871766
                205.3442                   9.5115841e-05
               205.89636                  -3.9910514e-05
               206.44851                  -0.00017535929
               207.00066                  -0.00031017632
               207.55282                  -0.00044355599
               208.10497                  -0.00057462136
               208.65712                  -0.00070229763
               209.20927                  -0.00082572723
               209.76143                  -0.00094416421
               210.31358                   -0.0010566328
               210.86573                    -0.001162279
               211.41789                   -0.0012605441
               211.97004                   -0.0013506859
               212.52219                   -0.0014318519
               213.07435                   -0.0015035732
                213.6265                   -0.0015654682
               214.17865                    -0.001616894
               214.73081                   -0.0016574269
               215.28296                   -0.0016869403
               215.83511                   -0.0017051146
               216.38726                   -0.0017116862
               216.93942                   -0.0017067274
               217.49157                    -0.001690239
               218.04372                   -0.0016621999
               218.59588                   -0.0016228538
               219.14803                   -0.0015724464
               219.70018                   -0.0015112274
               220.25234                    -0.001439666
               220.80449                   -0.0013582456
               221.35664                   -0.0012674403
                221.9088                   -0.0011678835
               222.46095                   -0.0010602518
                223.0131                  -0.00094524415
               223.56525                   -0.0008236606
               224.11741                  -0.00069632257
               224.66956                  -0.00056406534
               225.22171                  -0.00042777978
               225.77387                   -0.0002884054
               226.32602                  -0.00014691684
               226.87817                   -4.250594e-06
               227.43033                     0.000138674
               227.98248                   0.00028085361
               228.53463                   0.00042128015
               229.08679                   0.00055904637
               229.63894                   0.00069325706
               230.19109                   0.00082295103
               230.74325                   0.00094723272
                231.2954                    0.0010653364
               231.84755                    0.0011764426
                232.3997                    0.0012797321
               232.95186                    0.0013746165
               233.50401                    0.0014604991
               234.05616                    0.0015366493
               234.60832                    0.0016026066
               235.16047                    0.0016580844
               235.71262                     0.001702614
               236.26478                    0.0017358519
               236.81693                     0.001757704
               237.36908                    0.0017680197
               237.92124                    0.0017667007
               238.47339                    0.0017538186
               239.02554                    0.0017294674
               239.57769                    0.0016938248
               240.12985                    0.0016471712
                 240.682                    0.0015898095
               241.23415                    0.0015221677
               241.78631                    0.0014447744
               242.33846                    0.0013581004
               242.89061                    0.0012626955
               243.44277                    0.0011593126
               243.99492                    0.0010486724
               244.54707                    0.0009314462
               245.09923                   0.00080846094
               245.65138                   0.00068056755
               246.20353                   0.00054860002
               246.75568                   0.00041347464
               247.30784                   0.00027604617
               247.85999                   0.00013722479
               248.41214                  -1.9729366e-06
                248.9643                  -0.00014074831
               249.51645                  -0.00027826383
                250.0686                  -0.00041342491
               250.62076                  -0.00054539825
               251.17291                  -0.00067351562
               251.72506                  -0.00079683294
               252.27722                  -0.00091450819
               252.82937                   -0.0010259524
               253.38152                   -0.0011304398
               253.93367                   -0.0012272282
               254.48583                   -0.0013158019
               255.03798                   -0.0013957004
               255.59013                   -0.0014664093
               256.14229                   -0.0015274662
               256.69444                   -0.0015785896
               257.24659                   -0.0016195853
               257.79875                   -0.0016501588
                258.3509                   -0.0016701441
               258.90305                   -0.0016796297
               259.45521                    -0.001678589
               260.00736                   -0.0016669739
               260.55951                   -0.0016450443
               261.11166                   -0.0016130613
               261.66382                   -0.0015711962
               262.21597                   -0.0015198363
               262.76812                   -0.0014594219
               263.32028                   -0.0013903345
               263.87243                   -0.0013131117
               264.42458                   -0.0012283494
               264.97674                   -0.0011365958
               265.52889                   -0.0010385005
               266.08104                  -0.00093477781
                266.6332                  -0.00082607308
               267.18535                  -0.00071307258
                267.7375                   -0.0005966239
               268.28965                  -0.00047751078
               268.84181                  -0.00035635626
               269.39396                  -0.00023398232
               269.94611                  -0.00011131846
               270.49827                   1.1021959e-05
               271.05042                   0.00013239007
               271.60257                   0.00025182592
               272.15473                   0.00036860614
               272.70688                   0.00048226427
               273.25903                   0.00059204286
               273.81119                   0.00069713526
               274.36334                   0.00079710057
