        Frequency / GHz                X (8)/abs,linear
               3.1531122                       4.9440282
               3.1585768                       4.9608493
               3.1640415                       4.9766576
               3.1695062                       4.9907705
               3.1749708                       5.0025901
               3.1804355                       5.0116335
               3.1859001                       5.0175565
               3.1913648                       5.0201708
               3.1968295                       5.0194543
               3.2022941                       5.0155547
               3.2077588                       5.0087839
               3.2132235                       4.9996065
               3.2186881                       4.9886195
               3.2241528                       4.9765255
               3.2296175                       4.9640995
               3.2350821                       4.9521502
               3.2405468                       4.9414777
               3.2460115                       4.9328301
               3.2514761                         4.92686
               3.2569408                       4.9240865
               3.2624055                       4.9248619
               3.2678701                       4.9293496
               3.2733348                       4.9375114
               3.2787995                       4.9491082
               3.2842641                       4.9637124
               3.2897288                       4.9807318
               3.2951935                       4.9994426
               3.3006581                       5.0190297
               3.3061228                       5.0386312
               3.3115875                       5.0573834
               3.3170521                       5.0744658
               3.3225168                       5.0891422
               3.3279815                       5.1007968
               3.3334461                       5.1089642
               3.3389108                       5.1133525
               3.3443755                       5.1138581
               3.3498401                       5.1105728
               3.3553048                       5.1037818
               3.3607695                       5.0939538
               3.3662341                       5.0817219
               3.3716988                       5.0678563
               3.3771635                       5.0532288
               3.3826281                       5.0387709
               3.3880928                        5.025426
               3.3935574                       5.0140988
               3.3990221                       5.0056041
               3.4044868                       5.0006183
               3.4099514                       4.9996375
               3.4154161                        5.002945
               3.4208808                       5.0105918
               3.4263454                       5.0223903
               3.4318101                       5.0379244
               3.4372748                       5.0565722
               3.4427394                       5.0775418
               3.4482041                        5.099916
               3.4536688                       5.1227028
               3.4591334                       5.1448889
               3.4645981                       5.1654925
               3.4700628                       5.1836122
               3.4755274                       5.1984717
               3.4809921                       5.2094568
               3.4864568                       5.2161451
               3.4919214                       5.2183265
               3.4973861                       5.2160153
               3.5028508                       5.2094521
               3.5083154                       5.1990965
               3.5137801                       5.1856099
               3.5192448                       5.1698281
               3.5247094                       5.1527252
               3.5301741                       5.1353674
               3.5356388                       5.1188606
               3.5411034                       5.1042922
               3.5465681                       5.0926701
               3.5520328                       5.0848632
               3.5574974                       5.0815483
               3.5629621                       5.0831649
               3.5684268                       5.0898858
               3.5738914                       5.1016024
               3.5793561                       5.1179293
               3.5848208                       5.1382256
               3.5902854                       5.1616323
               3.5957501                       5.1871221
               3.6012147                       5.2135571
               3.6066794                       5.2397514
               3.6121441                       5.2645333
               3.6176087                       5.2868049
               3.6230734                       5.3055957
               3.6285381                        5.320109
               3.6340027                       5.3297589
               3.6394674                        5.334198
               3.6449321                       5.3333357
               3.6503967                       5.3273447
               3.6558614                       5.3166575
               3.6613261                       5.3019521
               3.6667907                       5.2841257
               3.6722554                       5.2642574
               3.6777201                       5.2435603
               3.6831847                       5.2233232
               3.6886494                        5.204845
               3.6941141                        5.189363
               3.6995787                       5.1779814
               3.7050434                       5.1716026
               3.7105081                       5.1708685
               3.7159727                       5.1761162
               3.7214374                       5.1873526
               3.7269021                       5.2042503
               3.7323667                       5.2261658
               3.7378314                       5.2521775
               3.7432961                       5.2811406
               3.7487607                       5.3117533
               3.7542254                       5.3426304
               3.7596901                        5.372377
               3.7651547                       5.3996603
               3.7706194                       5.4232749
               3.7760841                       5.4421996
               3.7815487                       5.4556444
               3.7870134                       5.4630868
               3.7924781                       5.4642963
               3.7979427                       5.4593479
               3.8034074                       5.4486234
                3.808872                       5.4328004
               3.8143367                       5.4128286
               3.8198014                       5.3898929
                3.825266                        5.365364
               3.8307307                        5.340735
               3.8361954                       5.3175485
                 3.84166                       5.2973138
               3.8471247                       5.2814206
               3.8525894                       5.2710534
                3.858054                       5.2671146
               3.8635187                       5.2701614
               3.8689834                       5.2803649
                3.874448                        5.297494
               3.8799127                       5.3209269
               3.8853774                       5.3496889
                3.890842                       5.3825121
               3.8963067                       5.4179114
               3.9017714                       5.4542705
                3.907236                       5.4899308
               3.9127007                       5.5232778
               3.9181654                       5.5528207
                 3.92363                       5.5772627
               3.9290947                       5.5955593
               3.9345594                       5.6069645
                3.940024                       5.6110646
               3.9454887                       5.6077985
               3.9509534                       5.5974658
                3.956418                       5.5807201
               3.9618827                       5.5585494
               3.9673474                       5.5322414
                3.972812                       5.5033323
               3.9782767                       5.4735418
               3.9837414                       5.4446915
                3.989206                       5.4186114
               3.9946707                       5.3970373
               4.0001354                       5.3815057
                  4.0056                       5.3732529
               4.0110647                       5.3731293
               4.0165293                       5.3815362
                4.021994                       5.3983921
               4.0274587                       5.4231337
               4.0329233                         5.45475
                4.038388                       5.4918472
               4.0438527                       5.5327351
               4.0493173                       5.5755293
                4.054782                       5.6182578
               4.0602467                       5.6589665
               4.0657113                       5.6958165
                4.071176                        5.727171
               4.0766407                       5.7516675
               4.0821053                       5.7682764
                 4.08757                       5.7763453
               4.0930347                       5.7756282
               4.0984993                       5.7663006
                4.103964                       5.7489602
               4.1094287                       5.7246119
               4.1148933                       5.6946363
                4.120358                        5.660741
               4.1258227                       5.6248928
               4.1312873                       5.5892308
                4.136752                       5.5559615
               4.1422167                       5.5272393
               4.1476813                        5.505038
                4.153146                       5.4910227
               4.1586107                       5.4864328
               4.1640753                       5.4919891
                 4.16954                        5.507835
               4.1750047                       5.5335193
               4.1804693                       5.5680239
                4.185934                       5.6098307
               4.1913987                       5.6570216
               4.1968633                        5.707399
                4.202328                       5.7586161
               4.2077926                        5.808306
               4.2132573                       5.8542027
                4.218722                       5.8942472
               4.2241866                       5.9266789
               4.2296513                       5.9501082
                4.235116                       5.9635731
               4.2405806                       5.9665793
               4.2460453                       5.9591245
