        s / mm                X/real
              -41.950993                     0.010194043
              -41.670162                     0.010576233
               -41.38933                     0.010970316
              -41.108498                     0.011376554
              -40.827666                      0.01179521
              -40.546835                     0.012226552
              -40.266003                     0.012670847
              -39.985171                     0.013128363
               -39.70434                     0.013599371
              -39.423508                     0.014084144
              -39.142676                     0.014582946
              -38.861845                     0.015096043
              -38.581013                      0.01562371
              -38.300181                     0.016166218
              -38.019349                     0.016723828
              -37.738518                     0.017296808
              -37.457686                     0.017885425
              -37.176854                     0.018489937
              -36.896023                     0.019110612
              -36.615191                      0.01974771
              -36.334359                     0.020401472
              -36.053528                     0.021072162
              -35.772696                      0.02176004
              -35.491864                     0.022465331
              -35.211032                     0.023188275
              -34.930201                      0.02392913
              -34.649369                     0.024688116
              -34.368537                     0.025465446
              -34.087706                      0.02626136
              -33.806874                     0.027076073
              -33.526042                     0.027909779
              -33.245211                     0.028762685
              -32.964379                      0.02963499
              -32.683547                     0.030526874
              -32.402715                     0.031438513
              -32.121884                     0.032370076
              -31.841052                     0.033321725
               -31.56022                     0.034293619
              -31.279389                     0.035285895
              -30.998557                     0.036298676
              -30.717725                     0.037332082
              -30.436894                     0.038386217
              -30.156062                     0.039461183
               -29.87523                     0.040557071
              -29.594398                     0.041673946
              -29.313567                     0.042811858
              -29.032735                      0.04397085
              -28.751903                     0.045150963
              -28.471072                     0.046352225
               -28.19024                      0.04757462
              -27.909408                     0.048818116
              -27.628577                     0.050082708
              -27.347745                     0.051368359
              -27.066913                     0.052674982
              -26.786081                     0.054002497
               -26.50525                     0.055350821
              -26.224418                     0.056719825
              -25.943586                     0.058109374
              -25.662755                     0.059519334
              -25.381923                     0.060949529
              -25.101091                     0.062399751
               -24.82026                     0.063869802
              -24.539428                     0.065359457
              -24.258596                     0.066868447
              -23.977764                     0.068396512
              -23.696933                     0.069943369
              -23.416101                     0.071508677
              -23.135269                     0.073092112
              -22.854438                     0.074693348
              -22.573606                     0.076311979
              -22.292774                     0.077947592
              -22.011943                     0.079599789
              -21.731111                     0.081268108
              -21.450279                     0.082952083
              -21.169447                     0.084651248
              -20.888616                     0.086365067
              -20.607784                        0.088093
              -20.326952                     0.089834517
              -20.046121                     0.091589003
              -19.765289                     0.093355848
              -19.484457                     0.095134482
              -19.203626                     0.096924231
