        Frequency / GHz                Y (2)/abs,linear
               4.7651886                       4.7031544
               4.7706532                       5.1816089
               4.7761179                       5.7170069
               4.7815826                       6.2625684
               4.7870472                       6.7851942
               4.7925119                       7.2618316
               4.7979766                       7.6764691
               4.8034412                       8.0181209
               4.8089059                       8.2795615
               4.8143706                       8.4565388
               4.8198352                       8.5472819
               4.8252999                       8.5521856
               4.8307645                       8.4736091
               4.8362292                         8.31575
               4.8416939                       8.0845784
               4.8471585                       7.7878274
               4.8526232                       7.4350445
               4.8580879                       7.0377156
               4.8635525                       6.6094739
               4.8690172                       6.1663891
               4.8744819                        5.727285
               4.8799465                       5.3139088
               4.8854112                       4.9505443
               4.8908759                       4.6623639
               4.8963405                       4.4718073
               4.9018052                       4.3932427
               4.9072699                       4.4281907
               4.9127345                       4.5643769
               4.9181992                       4.7795481
               4.9236639                       5.0474471
               4.9291285                       5.3427039
               4.9345932                       5.6434026
               4.9400579                       5.9318118
               4.9455225                       6.1941746
               4.9509872                       6.4201864
               4.9564519                       6.6024596
               4.9619165                       6.7360771
               4.9673812                       6.8182518
               4.9728459                       6.8480739
               4.9783105                       6.8263283
               4.9837752                       6.7553632
               4.9892399                       6.6389959
               4.9947045                       6.4824462
               5.0001692                       6.2922869
               5.0056339                       6.0763984
               5.0110985                       5.8439078
               5.0165632                       5.6050771
               5.0220279                        5.371086
               5.0274925                       5.1536337
               5.0329572                        4.964278
               5.0384218                       4.8134689
               5.0438865                       4.7093506
               5.0493512                       4.6565779
               5.0548158                       4.6555332
               5.0602805                        4.702275
               5.0657452                        4.789276
               5.0712098                       4.9066857
               5.0766745                       5.0436971
               5.0821392                       5.1896886
               5.0876038                       5.3350007
               5.0930685                       5.4713686
               5.0985332                       5.5921031
               5.1039978                       5.6921157
               5.1094625                       5.7678612
               5.1149272                        5.817243
               5.1203918                       5.8395049
               5.1258565                         5.83512
               5.1313212                       5.8056795
               5.1367858                       5.7537768
               5.1422505                       5.6828837
               5.1477152                        5.597209
               5.1531798                       5.5015325
               5.1586445                       5.4010039
               5.1641092                       5.3009024
               5.1695738                       5.2063547
               5.1750385                       5.1220238
               5.1805032                       5.0517888
               5.1859678                       4.9984583
               5.1914325                       4.9635587
               5.1968972                       4.9472421
               5.2023618                       4.9483367
               5.2078265                       4.9645324
               5.2132912                       4.9926702
               5.2187558                       5.0290865
