        s / mm                X (ytest=0)/real
               165.58918                     0.001666866
               166.14133                    0.0014595714
               166.69349                    0.0012492326
               167.24564                    0.0010368409
               167.79779                   0.00082360022
               168.34995                   0.00061047349
                168.9021                   0.00039830141
               169.45425                   0.00018810128
               170.00641                  -1.9098592e-05
               170.55856                  -0.00022243018
               171.11071                  -0.00042102595
               171.66286                  -0.00061399282
               172.21502                  -0.00080054117
               172.76717                  -0.00097991364
               173.31932                   -0.0011513611
               173.87148                   -0.0013142592
               174.42363                    -0.001468051
               174.97578                    -0.001612162
               175.52794                   -0.0017460917
               176.08009                   -0.0018694913
               176.63224                   -0.0019820747
                177.1844                   -0.0020835236
               177.73655                   -0.0021736257
                178.2887                   -0.0022523734
               178.84086                   -0.0023197455
               179.39301                    -0.002375679
               179.94516                    -0.002420316
               180.49731                   -0.0024539233
               181.04947                   -0.0024767033
               181.60162                   -0.0024889369
               182.15377                   -0.0024910691
               182.70593                   -0.0024835295
               183.25808                   -0.0024667409
               183.81023                   -0.0024413111
               184.36239                   -0.0024078932
               184.91454                   -0.0023669972
               185.46669                   -0.0023192666
               186.01885                   -0.0022655361
                 186.571                   -0.0022064584
               187.12315                   -0.0021426555
                187.6753                   -0.0020750122
               188.22746                   -0.0020043073
               188.77961                   -0.0019311243
               189.33176                   -0.0018562509
               189.88392                   -0.0017805243
               190.43607                   -0.0017045447
               190.98822                   -0.0016289482
               191.54038                   -0.0015545104
               192.09253                   -0.0014818206
               192.64468                   -0.0014112982
               193.19684                   -0.0013435403
               193.74899                   -0.0012791755
               194.30114                   -0.0012184849
               194.85329                   -0.0011616988
               195.40545                   -0.0011092951
                195.9576                   -0.0010615603
               196.50975                   -0.0010184935
               197.06191                  -0.00098023516
               197.61406                  -0.00094693225
               198.16621                  -0.00091848381
               198.71837                  -0.00089477261
               199.27052                  -0.00087570751
               199.82267                  -0.00086105528
               200.37483                  -0.00085052637
               200.92698                  -0.00084380594
               201.47913                  -0.00084045235
               202.03128                  -0.00084002766
               202.58344                  -0.00084214767
               203.13559                  -0.00084622313
               203.68774                  -0.00085156665
                204.2399                    -0.000857718
               204.79205                  -0.00086413205
                205.3442                  -0.00086996814
               205.89636                  -0.00087458498
               206.44851                  -0.00087752064
               207.00066                  -0.00087800158
               207.55282                  -0.00087521793
               208.10497                  -0.00086867541
               208.65712                  -0.00085781624
               209.20927                  -0.00084189512
               209.76143                  -0.00082034702
               210.31358                  -0.00079273342
               210.86573                  -0.00075850679
               211.41789                  -0.00071718839
               211.97004                  -0.00066843446
               212.52219                  -0.00061188208
               213.07435                  -0.00054727187
                213.6265                  -0.00047445479
               214.17865                  -0.00039319792
               214.73081                  -0.00030340715
               215.28296                  -0.00020524294
               215.83511                  -9.8753084e-05
               216.38726                   1.6036092e-05
               216.93942                   0.00013877125
               217.49157                   0.00026907055
               218.04372                   0.00040669749
               218.59588                   0.00055116406
               219.14803                   0.00070178535
               219.70018                   0.00085802473
               220.25234                    0.0010192938
               220.80449                    0.0011847716
               221.35664                    0.0013536323
                221.9088                    0.0015250809
               222.46095                    0.0016981918
                223.0131                     0.001871977
               223.56525                    0.0020455119
               224.11741                    0.0022178202
               224.66956                    0.0023877864
               225.22171                    0.0025543346
               225.77387                    0.0027164785
               226.32602                    0.0028731479
               226.87817                    0.0030232242
               227.43033                      0.00316568
               227.98248                    0.0032995278
               228.53463                    0.0034237557
               229.08679                    0.0035373531
               229.63894                    0.0036393923
               230.19109                    0.0037290625
               230.74325                    0.0038055359
                231.2954                    0.0038679796
               231.84755                    0.0039157543
                232.3997                    0.0039483007
               232.95186                    0.0039649856
               233.50401                    0.0039653323
               234.05616                    0.0039490642
               234.60832                    0.0039158794
               235.16047                    0.0038655436
               235.71262                    0.0037980109
               236.26478                      0.00371327
               236.81693                     0.003611362
               237.36908                    0.0034925393
               237.92124                    0.0033571626
               238.47339                    0.0032055634
               239.02554                    0.0030381721
               239.57769                    0.0028556411
               240.12985                    0.0026586699
                 240.682                     0.002447917
               241.23415                    0.0022242561
               241.78631                    0.0019887203
               242.33846                    0.0017421808
               242.89061                     0.001485607
               243.44277                    0.0012202989
               243.99492                   0.00094745585
