        s / mm                Y/real
               7.1945542                      0.18156624
               7.4753859                      0.18037564
               7.7562176                      0.17913512
               8.0370493                      0.17784544
                8.317881                      0.17650741
               8.5987127                      0.17512191
               8.8795444                      0.17368985
               9.1603761                      0.17221209
               9.4412078                      0.17068958
               9.7220395                      0.16912344
               10.002871                      0.16751473
               10.283703                      0.16586439
               10.564535                      0.16417361
               10.845366                      0.16244364
               11.126198                      0.16067555
                11.40703                      0.15887054
               11.687861                      0.15702993
               11.968693                        0.155155
               12.249525                      0.15324701
               12.530357                      0.15130731
               12.811188                       0.1493373
                13.09202                      0.14733835
               13.372852                      0.14531179
               13.653683                      0.14325905
               13.934515                      0.14118166
               14.215347                      0.13908108
               14.496178                      0.13695874
                14.77701                      0.13481614
               15.057842                      0.13265476
               15.338674                      0.13047608
               15.619505                      0.12828178
               15.900337                      0.12607332
               16.181169                      0.12385216
                  16.462                      0.12161995
               16.742832                      0.11937821
               17.023664                      0.11712838
               17.304495                      0.11487217
               17.585327                      0.11261116
               17.866159                      0.11034671
               18.146991                       0.1080804
               18.427822                      0.10581383
               18.708654                      0.10354846
               18.989486                      0.10128584
               19.270317                     0.099027526
               19.551149                     0.096774936
               19.831981                     0.094529417
               20.112812                     0.092292506
               20.393644                     0.090065802
               20.674476                      0.08785059
               20.955308                     0.085648111
               21.236139                     0.083459885
               21.516971                     0.081287304
               21.797803                     0.079131558
               22.078634                     0.076993982
               22.359466                     0.074875896
               22.640298                      0.07277843
               22.921129                     0.070702747
               23.201961                     0.068650092
               23.482793                      0.06662164
               23.763625                     0.064618411
               24.044456                     0.062641416
               24.325288                     0.060691761
                24.60612                     0.058770425
               24.886951                     0.056878281
               25.167783                     0.055016279
               25.448615                     0.053185272
               25.729446                     0.051386057
               26.010278                     0.049619485
                26.29111                     0.047886241
               26.571941                     0.046186959
               26.852773                     0.044522379
               27.133605                     0.042893094
               27.414437                     0.041299589
               27.695268                     0.039742463
                 27.9761                     0.038222206
               28.256932                     0.036739127
               28.537763                     0.035293613
               28.818595                     0.033886074
