        Frequency / GHz                X (5)/abs,linear
               4.5575313                        6.599471
               4.5629959                       6.5460143
               4.5684606                       6.4845067
               4.5739253                       6.4183136
               4.5793899                       6.3512112
               4.5848546                       6.2872196
               4.5903193                       6.2303945
               4.5957839                       6.1845822
               4.6012486                       6.1531539
               4.6067133                       6.1387448
               4.6121779                       6.1430286
               4.6176426                       6.1665623
               4.6231072                       6.2087242
               4.6285719                       6.2677576
               4.6340366                       6.3409102
               4.6395012                        6.424646
               4.6449659                       6.5148987
               4.6504306                       6.6073347
               4.6558952                       6.6976021
               4.6613599                       6.7815493
               4.6668246                       6.8554075
               4.6722892                       6.9159373
               4.6777539                       6.9605413
               4.6832186                       6.9873499
               4.6886832                       6.9952823
               4.6941479                       6.9840896
               4.6996126                       6.9543777
               4.7050772                       6.9076136
               4.7105419                       6.8461095
               4.7160066                       6.7729812
               4.7214712                        6.692073
               4.7269359                       6.6078396
               4.7324006                        6.525175
               4.7378652                       6.4491832
               4.7433299                       6.3848879
               4.7487946                       6.3368951
               4.7542592                       6.3090343
               4.7597239                       6.3040223
               4.7651886                       6.3231998
               4.7706532                       6.3663882
               4.7761179                        6.431892
               4.7815826                       6.5166459
               4.7870472                       6.6164771
               4.7925119                       6.7264347
               4.7979766                       6.8411398
               4.8034412                       6.9551156
               4.8089059                       7.0630748
               4.8143706                       7.1601543
               4.8198352                       7.2420987
               4.8252999                       7.3053999
               4.8307645                       7.3474003
               4.8362292                       7.3663684
               4.8416939                        7.361554
               4.8471585                       7.3332252
               4.8526232                       7.2826899
               4.8580879                       7.2122991
               4.8635525                       7.1254263
               4.8690172                       7.0264159
               4.8744819                       6.9204845
               4.8799465                       6.8135624
               4.8854112                       6.7120551
               4.8908759                       6.6225157
               4.8963405                       6.5512271
               4.9018052                       6.5037187
               4.9072699                       6.4842684
               4.9127345                       6.4954672
               4.9181992                       6.5379284
               4.9236639                       6.6102027
               4.9291285                       6.7089172
               4.9345932                       6.8291027
               4.9400579                       6.9646386
               4.9455225                       7.1087361
               4.9509872                       7.2543936
               4.9564519                       7.3947859
               4.9619165                       7.5235726
               4.9673812                       7.6351305
               4.9728459                       7.7247234
               4.9783105                       7.7886236
               4.9837752                       7.8242006
               4.9892399                        7.829987
               4.9947045                       7.8057289
               5.0001692                       7.7524239
               5.0056339                       7.6723485
               5.0110985                       7.5690673
               5.0165632                       7.4474182
               5.0220279                       7.3134542
               5.0274925                       7.1743223
               5.0329572                        7.038046
               5.0384218                       6.9131835
               5.0438865                       6.8083365
               5.0493512                       6.7315153
               5.0548158                       6.6894086
               5.0602805                       6.6866656
               5.0657452                       6.7253324
               5.0712098                       6.8045777
               5.0766745                       6.9207771
               5.0821392                       7.0679264
               5.0876038                        7.238272
               5.0930685                       7.4230172
               5.0985332                       7.6129849
               5.1039978                       7.7991683
               5.1094625                       7.9731476
               5.1149272                       8.1273874
               5.1203918                       8.2554389
               5.1258565                        8.352077
               5.1313212                       8.4133951
               5.1367858                       8.4368773
               5.1422505                       8.4214579
               5.1477152                       8.3675775
               5.1531798                       8.2772367
               5.1586445                       8.1540469
               5.1641092                       8.0032701
               5.1695738                        7.831833
               5.1750385                       7.6482864
               5.1805032                       7.4626681
               5.1859678                       7.2862087
               5.1914325                       7.1308161
               5.1968972                       7.0082849
               5.2023618                       6.9292451
               5.2078265                       6.9019648
               5.2132912                       6.9312475
               5.2187558                       7.0177168
               5.2242205                       7.1577074
               5.2296852                        7.343784
               5.2351498                       7.5657056
               5.2406145                       7.8115541
               5.2460791                        8.068782
               5.2515438                        8.325045
               5.2570085                       8.5687884
               5.2624731                       8.7896265
               5.2679378                       8.9785718
               5.2734025                       9.1281709
               5.2788671                       9.2325889
               5.2843318                       9.2876736
               5.2897965                       9.2910151
               5.2952611                       9.2420153
               5.3007258                       9.1419728
               5.3061905                       8.9941877
               5.3116551                       8.8040847
               5.3171198                       8.5793479
               5.3225845                       8.3300435
               5.3280491                       8.0686861
               5.3335138                       7.8101603
               5.3389785                       7.5713618
               5.3444431                       7.3703826
               5.3499078                       7.2250854
               5.3553725                       7.1510717
               5.3608371                       7.1593683
               5.3663018                        7.254491
               5.3717665                       7.4336065
               5.3772311                       7.6871147
               5.3826958                       8.0003512
               5.3881605                       8.3557202
               5.3936251                       8.7346234
               5.3990898                       9.1188684
               5.4045545                       9.4915363
               5.4100191                       9.8374379
               5.4154838                       10.143315
               5.4209485                       10.397911
               5.4264131                       10.591984
               5.4318778                       10.718322
               5.4373424                       10.771771
               5.4428071                       10.749302
               5.4482718                       10.650123
               5.4537364                       10.475853
               5.4592011                       10.230765
               5.4646658                       9.9221346

