        Frequency / GHz                Z (8)/abs,linear
               3.4044868                       75.175901
               3.4099514                       83.257494
               3.4154161                       103.12573
               3.4208808                       129.13368
               3.4263454                       157.61526
               3.4318101                       186.56544
               3.4372748                       214.78769
               3.4427394                       241.46421
               3.4482041                       265.97264
               3.4536688                       287.80742
               3.4591334                       306.54522
               3.4645981                       321.82977
               3.4700628                       333.36574
               3.4755274                         340.917
               3.4809921                       344.30701
               3.4864568                       343.42029
               3.4919214                       338.20451
               3.4973861                       328.67306
               3.5028508                       314.90832
               3.5083154                       297.06654
               3.5137801                       275.38583
               3.5192448                       250.20099
               3.5247094                       221.97355
               3.5301741                       191.35718
               3.5356388                       159.35186
               3.5411034                       127.69648
               3.5465681                       99.888502
               3.5520328                        83.08706
               3.5574974                       86.174882
               3.5629621                        108.2161
               3.5684268                       140.46372
               3.5738914                       176.80288
               3.5793561                       214.19808
               3.5848208                       250.99758
               3.5902854                       286.12743
               3.5957501                       318.78306
               3.6012147                       348.30829
               3.6066794                       374.14559
               3.6121441                       395.81549
               3.6176087                       412.90894
               3.6230734                        425.0855
               3.6285381                        432.0744
               3.6340027                        433.6769
               3.6394674                       429.76921
               3.6449321                       420.30579
               3.6503967                       405.32303
               3.6558614                       384.94385
               3.6613261                        359.3844
               3.6667907                       328.96562
               3.6722554                       294.13579
               3.6777201                       255.51927
               3.6831847                       214.03263
               3.6886494                        171.1929
               3.6941141                       130.03459
               3.6995787                       97.858247
               3.7050434                        89.68851
               3.7105081                       113.02438
               3.7159727                       154.66359
               3.7214374                       203.23868
               3.7269021                         253.807
               3.7323667                       304.01098
               3.7378314                       352.41093
               3.7432961                       397.94241
               3.7487607                       439.72774
               3.7542254                       477.00525
               3.7596901                       509.10237
               3.7651547                       535.42667
               3.7706194                       555.46495
               3.7760841                       568.78581
               3.7815487                       575.04393
               3.7870134                       573.98491
               3.7924781                       565.45025
               3.7979427                       549.38242
               3.8034074                       525.83024
                3.808872                       494.95536
               3.8143367                       457.04158
               3.8198014                       412.51132
                3.825266                       361.95948
               3.8307307                       306.23284
               3.8361954                        246.6427
                 3.84166                       185.63563
               3.8471247                       129.34553
               3.8525894                       96.819163
                3.858054                       116.96116
               3.8635187                       174.35912
               3.8689834                       244.30854
                3.874448                       317.86945
               3.8799127                       391.55316
               3.8853774                       463.38327
                3.890842                       531.89909
               3.8963067                        595.8637
               3.9017714                       654.16679
                3.907236                       705.79165
               3.9127007                       749.80674
               3.9181654                       785.36742
                 3.92363                       811.72218
               3.9290947                       828.22086
               3.9345594                       834.32355
                3.940024                        829.6095
               3.9454887                       813.78588
               3.9509534                        786.6963
                3.956418                       748.32945
               3.9618827                       698.82895
               3.9673474                       638.50675
                3.972812                       567.86607
               3.9782767                       487.65026
               3.9837414                       398.96783
                3.989206                       303.68439
               3.9946707                       206.03655
               4.0001354                        122.2097
                  4.0056                        118.5083
               4.0110647                       207.74598
               4.0165293                       323.14635
                4.021994                       445.58518
               4.0274587                       569.77491
               4.0329233                       692.93621
                4.038388                        812.9349
               4.0438527                       927.85331
               4.0493173                       1035.8676
                4.054782                       1135.2121
               4.0602467                       1224.1742
               4.0657113                       1301.1014
                4.071176                       1364.4129
               4.0766407                       1412.6149
               4.0821053                       1444.3153
                 4.08757                       1458.2402
               4.0930347                       1453.2489
               4.0984993                       1428.3491
                4.103964                       1382.7114
               4.1094287                       1315.6842
               4.1148933                       1226.8084
                4.120358                       1115.8363
               4.1258227                        982.7599
               4.1312873                       827.86968
                4.136752                       651.91726
               4.1422167                       456.74911
               4.1476813                       249.46698
                4.153146                       114.86349
               4.1586107                       298.99121
               4.1640753                       564.24814
                 4.16954                        852.2638
               4.1750047                       1156.3962
               4.1804693                       1473.6789
                4.185934                       1801.7361
               4.1913987                       2138.2824
               4.1968633                       2481.0044
                4.202328                       2827.5317
