        Distance / mm                Charge distribution (distance) (xtest=5)/real
               37.359564                   2.9168753e-09
               37.680247                   2.8186022e-09
                38.00093                   2.7228424e-09
               38.321613                   2.6295655e-09
               38.642295                   2.5387403e-09
               38.962978                   2.4503344e-09
               39.283661                   2.3643143e-09
               39.604344                   2.2806458e-09
               39.925027                   2.1992939e-09
                40.24571                   2.1202227e-09
               40.566393                   2.0433957e-09
               40.887076                   1.9687758e-09
               41.207759                   1.8963253e-09
               41.528442                    1.826006e-09
               41.849125                   1.7577792e-09
               42.169808                   1.6916062e-09
               42.490491                   1.6274474e-09
               42.811174                   1.5652635e-09
               43.131857                   1.5050147e-09
                43.45254                   1.4466612e-09
               43.773223                   1.3901628e-09
               44.093906                   1.3354798e-09
               44.414589                    1.282572e-09
               44.735271                   1.2313994e-09
               45.055954                   1.1819224e-09
               45.376637                    1.134101e-09
                45.69732                   1.0878958e-09
               46.018003                   1.0432675e-09
               46.338686                   1.0001769e-09
               46.659369                   9.5858522e-10
               46.980052                   9.1845406e-10
               47.300735                   8.7974526e-10
               47.621418                   8.4242107e-10
               47.942101                   8.0644414e-10
               48.262784                   7.7177755e-10
               48.583467                   7.3838486e-10
                48.90415                   7.0623008e-10
               49.224833                   6.7527772e-10
               49.545516                   6.4549283e-10
               49.866199                   6.1684096e-10
               50.186882                   5.8928824e-10
               50.507565                   5.6280135e-10
               50.828248                   5.3734754e-10
                51.14893                   5.1289468e-10
               51.469613                    4.894112e-10
               51.790296                   4.6686617e-10
               52.110979                   4.4522925e-10
               52.431662                   4.2447074e-10
               52.752345                   4.0456155e-10
               53.073028                   3.8547325e-10
               53.393711                   3.6717802e-10
               53.714394                   3.4964868e-10
               54.035077                   3.3285868e-10
                54.35576                   3.1678213e-10
               54.676443                   3.0139375e-10
               54.997126                   2.8666891e-10
               55.317809                   2.7258361e-10
               55.638492                   2.5911446e-10
               55.959175                   2.4623873e-10
               56.279858                   2.3393428e-10
               56.600541                   2.2217958e-10
               56.921224                   2.1095373e-10
               57.241907                   2.0023642e-10
               57.562589                   1.9000792e-10
               57.883272                   1.8024911e-10
               58.203955                   1.7094144e-10
               58.524638                   1.6206691e-10
               58.845321                    1.536081e-10
