        Frequency / GHz          Charge distribution spectrum/real
               6.6823456                   1.8035038e-11
               6.6918107                   1.7859861e-11
               6.7012758                    1.768614e-11
               6.7107409                   1.7513868e-11
               6.7202059                   1.7343034e-11
                6.729671                   1.7173628e-11
               6.7391361                   1.7005643e-11
               6.7486012                   1.6839069e-11
               6.7580662                   1.6673895e-11
               6.7675313                   1.6510114e-11
               6.7769964                   1.6347715e-11
               6.7864615                   1.6186691e-11
               6.7959266                   1.6027031e-11
               6.8053916                   1.5868726e-11
               6.8148567                   1.5711768e-11
               6.8243218                   1.5556148e-11
               6.8337869                   1.5401856e-11
                6.843252                   1.5248884e-11
                6.852717                   1.5097223e-11
               6.8621821                   1.4946863e-11
               6.8716472                   1.4797797e-11
               6.8811123                   1.4650015e-11
               6.8905773                   1.4503508e-11
               6.9000424                   1.4358268e-11
               6.9095075                   1.4214286e-11
               6.9189726                   1.4071554e-11
               6.9284377                   1.3930062e-11
               6.9379027                   1.3789803e-11
               6.9473678                   1.3650767e-11
               6.9568329                   1.3512947e-11
                6.966298                   1.3376333e-11
               6.9757631                   1.3240917e-11
               6.9852281                   1.3106691e-11
               6.9946932                   1.2973647e-11
               7.0041583                   1.2841775e-11
               7.0136234                   1.2711069e-11
               7.0230885                   1.2581519e-11
               7.0325535                   1.2453117e-11
               7.0420186                   1.2325855e-11
               7.0514837                   1.2199726e-11
               7.0609488                    1.207472e-11
               7.0704138                    1.195083e-11
               7.0798789                   1.1828048e-11
                7.089344                   1.1706365e-11
               7.0988091                   1.1585774e-11
               7.1082742                   1.1466267e-11
               7.1177392                   1.1347836e-11
               7.1272043                   1.1230473e-11
               7.1366694                   1.1114171e-11
               7.1461345                   1.0998921e-11
               7.1555996                   1.0884715e-11
               7.1650646                   1.0771547e-11
               7.1745297                   1.0659407e-11
               7.1839948                    1.054829e-11
               7.1934599                   1.0438187e-11
               7.2029249                    1.032909e-11
                 7.21239                   1.0220992e-11
               7.2218551                   1.0113886e-11
               7.2313202                   1.0007764e-11
               7.2407853                   9.9026189e-12
               7.2502503                   9.7984428e-12
               7.2597154                   9.6952288e-12
               7.2691805                   9.5929695e-12
               7.2786456                   9.4916576e-12
               7.2881107                   9.3912859e-12
               7.2975757                   9.2918473e-12
               7.3070408                   9.1933345e-12
               7.3165059                   9.0957405e-12
                7.325971                   8.9990583e-12
               7.3354361                   8.9032807e-12
               7.3449011                   8.8084007e-12
               7.3543662                   8.7144115e-12
               7.3638313                   8.6213061e-12
               7.3732964                   8.5290776e-12
               7.3827614                   8.4377191e-12
               7.3922265                   8.3472239e-12
               7.4016916                   8.2575852e-12
               7.4111567                   8.1687962e-12
               7.4206218                   8.0808503e-12
               7.4300868                   7.9937408e-12
               7.4395519                   7.9074611e-12
                7.449017                   7.8220045e-12
               7.4584821                   7.7373646e-12
               7.4679472                   7.6535348e-12
               7.4774122                   7.5705087e-12
               7.4868773                   7.4882798e-12
               7.4963424                   7.4068417e-12
               7.5058075                   7.3261881e-12
               7.5152725                   7.2463126e-12
               7.5247376                   7.1672089e-12
               7.5342027                   7.0888708e-12
               7.5436678                   7.0112921e-12
               7.5531329                   6.9344666e-12
               7.5625979                   6.8583882e-12
                7.572063                   6.7830507e-12
               7.5815281                   6.7084481e-12
               7.5909932                   6.6345743e-12
               7.6004583                   6.5614234e-12
               7.6099233                   6.4889894e-12
               7.6193884                   6.4172663e-12
               7.6288535                   6.3462484e-12
               7.6383186                   6.2759296e-12
               7.6477837                   6.2063043e-12
               7.6572487                   6.1373666e-12
               7.6667138                   6.0691108e-12
               7.6761789                   6.0015311e-12
                7.685644                    5.934622e-12
                7.695109                   5.8683778e-12
               7.7045741                   5.8027928e-12
               7.7140392                   5.7378615e-12
               7.7235043                   5.6735784e-12
               7.7329694                    5.609938e-12
               7.7424344                   5.5469348e-12
               7.7518995                   5.4845634e-12
               7.7613646                   5.4228184e-12
               7.7708297                   5.3616945e-12
               7.7802948                   5.3011863e-12
               7.7897598                   5.2412885e-12
